rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,subjects_offered,year
501–600,University of Bradford,39.3–42.0,5110,22.0,950,22.7,635,62.5,615,39.7,1001,84.2,171,United Kingdom,"8,400",19.1,30%,"Archaeology,Chemistry,Computer Science,Mathematics & Statistics,Other Health,Sociology,Mechanical & Aerospace Engineering,Chemical Engineering,Psychology,Architecture,Civil Engineering,Communication & Media Studies,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Education,Sport Science,Accounting & Finance,General Engineering,Business & Management,Biological Sciences,Medicine & Dentistry,Law",2023
501–600,Bucharest University of Economic Studies,39.3–42.0,5120,17.9,1357,11.1,1367,97.7,48,37.8,1343,24.6,1489,Romania,"22,723",16.2,4%,"Languages, Literature & Linguistics,Sociology,Law,Computer Science,Business & Management,Politics & International Studies (incl Development Studies),Economics & Econometrics,Accounting & Finance",2023
501–600,Centrale Nantes,39.3–42.0,5130,31.9,447,28.7,459,45.3,939,81.0,106,86.3,153,France,"1,730",15.7,43%,"Geology, Environmental, Earth & Marine Sciences,Computer Science,Civil Engineering,Mechanical & Aerospace Engineering,General Engineering,Mathematics & Statistics",2023
501–600,Changsha University of Science and Technology,39.3–42.0,5140,15.5,1644,11.8,1300,93.8,100,54.8,325,23.5,1541,China,"33,342",15.3,1%,"Architecture,Law,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,General Engineering,Accounting & Finance,Languages, Literature & Linguistics,Geography,Mechanical & Aerospace Engineering,Business & Management,Communication & Media Studies,Computer Science,Mathematics & Statistics,Civil Engineering,Electrical & Electronic Engineering,Chemical Engineering,Physics & Astronomy",2023
501–600,Charles University,39.3–42.0,5150,33.2,401,31.0,408,49.7,861,37.3,1500,64.3,417,Czech Republic,"49,787",13.2,22%,"Archaeology,Biological Sciences,Communication & Media Studies,Computer Science,Law,Psychology,Chemistry,Economics & Econometrics,Medicine & Dentistry,Languages, Literature & Linguistics,Sociology,History, Philosophy & Theology,Mathematics & Statistics,Sport Science,Other Health,Politics & International Studies (incl Development Studies),Geography,Education,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Art, Performing Arts & Design",2023
501–600,University of Côte d’Azur,39.3–42.0,5160,24.9,752,21.1,703,69.9,487,37.6,1390,74.0,287,France,"31,723",20.2,20%,"Medicine & Dentistry,Sociology,Geography,Agriculture & Forestry,Business & Management,Psychology,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Archaeology,Law,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Chemical Engineering,General Engineering,Chemistry,Computer Science,Biological Sciences,Education,Accounting & Finance,Communication & Media Studies,History, Philosophy & Theology,Physics & Astronomy,Other Health,Sport Science,Civil Engineering,Mathematics & Statistics",2023
501–600,Damietta University,39.3–42.0,5170,17.0,1482,8.2,1754,99.9,8,37.5,1422,39.0,981,Egypt,"30,084",24.7,1%,"Civil Engineering,Physics & Astronomy,Languages, Literature & Linguistics,Computer Science,Sport Science,Economics & Econometrics,Mathematics & Statistics,Business & Management,Communication & Media Studies,Law,Education,History, Philosophy & Theology,Biological Sciences,Other Health,Geology, Environmental, Earth & Marine Sciences,Archaeology,Electrical & Electronic Engineering,Geography,Art, Performing Arts & Design,Chemical Engineering,Chemistry,Accounting & Finance,Agriculture & Forestry,Psychology,General Engineering,Architecture,Sociology",2023
501–600,Durban University of Technology,39.3–42.0,5180,17.6,1409,11.6,1316,90.0,150,38.5,1183,38.8,987,South Africa,"27,063",36.5,1%,"Agriculture & Forestry,Physics & Astronomy,General Engineering,Sociology,Chemistry,Psychology,Mathematics & Statistics,Electrical & Electronic Engineering,Communication & Media Studies,Computer Science,Other Health,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Biological Sciences,Chemical Engineering,History, Philosophy & Theology,Education,Languages, Literature & Linguistics,Law,Geology, Environmental, Earth & Marine Sciences,Business & Management,Economics & Econometrics,Accounting & Finance,Architecture,Mechanical & Aerospace Engineering,Geography,Civil Engineering,Sport Science,Art, Performing Arts & Design",2023
501–600,Eastern Mediterranean University,39.3–42.0,5190,22.4,918,14.2,1090,76.6,378,46.1,520,89.3,118,Northern Cyprus,"14,375",27.0,76%,"Business & Management,Economics & Econometrics,Veterinary Science,Computer Science,Architecture,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Civil Engineering,Languages, Literature & Linguistics,Biological Sciences,Medicine & Dentistry,Law,Psychology,Archaeology,Mechanical & Aerospace Engineering,Communication & Media Studies,Other Health,Accounting & Finance,Education,Physics & Astronomy,Mathematics & Statistics,Chemistry,Art, Performing Arts & Design",2023
501–600,École des Mines de Saint-Étienne,39.3–42.0,5200,32.3,437,30.8,413,51.6,823,76.1,149,70.9,333,France,"1,115",9.9,25%,"Accounting & Finance,Mechanical & Aerospace Engineering,Civil Engineering,Computer Science,Business & Management,Other Health,General Engineering,Geology, Environmental, Earth & Marine Sciences,Chemical Engineering,Electrical & Electronic Engineering,Geography,Mathematics & Statistics,Art, Performing Arts & Design",2023
501–600,Federal University of Toulouse Midi-Pyrénées,39.3–42.0,5210,26.4,676,27.5,488,61.2,642,39.9,978,66.0,390,France,"108,889",19.8,14%,"Business & Management,Law,Education,Sociology,Chemical Engineering,Veterinary Science,Architecture,Civil Engineering,Chemistry,Communication & Media Studies,Archaeology,History, Philosophy & Theology,Other Health,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Accounting & Finance,Agriculture & Forestry,Psychology,Art, Performing Arts & Design,Languages, Literature & Linguistics,Biological Sciences,Economics & Econometrics,Computer Science,Sport Science,Physics & Astronomy,General Engineering,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Mechanical & Aerospace Engineering,Mathematics & Statistics,Geography",2023
501–600,Florida International University,39.3–42.0,5220,32.2,440,27.4,491,62.7,614,37.9,1318,41.7,909,United States,"35,590",23.3,9%,"History, Philosophy & Theology,Biological Sciences,Mathematics & Statistics,Languages, Literature & Linguistics,Civil Engineering,Architecture,Computer Science,Law,Chemistry,Business & Management,Sociology,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Geography,Communication & Media Studies,Economics & Econometrics,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Art, Performing Arts & Design,Accounting & Finance,Other Health,Mechanical & Aerospace Engineering,Medicine & Dentistry,General Engineering,Education,Psychology",2023
501–600,University of Fribourg,39.3–42.0,5230,29.3,551,31.3,399,54.8,764,49.4,422,82.5,188,Switzerland,"6,880",15.6,14%,"Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Sociology,Accounting & Finance,Psychology,Archaeology,Biological Sciences,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Mathematics & Statistics,Chemistry,Sport Science,History, Philosophy & Theology,Law,Communication & Media Studies,Business & Management,Education,Geography,Languages, Literature & Linguistics,Computer Science,Physics & Astronomy,Art, Performing Arts & Design,Other Health",2023
501–600,"Goldsmiths, University of London",39.3–42.0,5240,25.5,712,25.9,525,63.4,600,37.0,1668,80.7,212,United Kingdom,"9,215",14.9,39%,"Economics & Econometrics,Psychology,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Education,Law,Other Health,Business & Management,Art, Performing Arts & Design,Sociology,Computer Science,History, Philosophy & Theology,Communication & Media Studies",2023
501–600,Government College University Faisalabad,39.3–42.0,5250,16.8,1513,13.1,1181,88.1,178,37.0,1670,45.3,794,Pakistan,"21,219",27.3,0%,"Sport Science,Chemical Engineering,Business & Management,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Economics & Econometrics,Education,Law,Geography,History, Philosophy & Theology,Medicine & Dentistry,Mechanical & Aerospace Engineering,Physics & Astronomy,Accounting & Finance,Agriculture & Forestry,Psychology,Biological Sciences,Art, Performing Arts & Design,Civil Engineering,Chemistry,Sociology,Languages, Literature & Linguistics,General Engineering,Communication & Media Studies,Other Health,Geology, Environmental, Earth & Marine Sciences,Architecture,Computer Science,Mathematics & Statistics",2023
501–600,University of Greenwich,39.3–42.0,5260,18.1,1332,16.8,906,78.2,358,37.8,1348,94.6,51,United Kingdom,"15,045",20.2,44%,"Architecture,Electrical & Electronic Engineering,Psychology,Civil Engineering,Biological Sciences,Languages, Literature & Linguistics,Mathematics & Statistics,Chemical Engineering,Other Health,Chemistry,Economics & Econometrics,Law,Art, Performing Arts & Design,General Engineering,Politics & International Studies (incl Development Studies),Computer Science,Business & Management,Sport Science,Accounting & Finance,Agriculture & Forestry,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Sociology,Education,Geology, Environmental, Earth & Marine Sciences,Communication & Media Studies",2023
501–600,University of Guelph,39.3–42.0,5270,29.5,542,33.4,337,48.7,876,49.3,424,60.6,467,Canada,"22,763",27.4,10%,"Communication & Media Studies,Mathematics & Statistics,Economics & Econometrics,History, Philosophy & Theology,Sociology,Politics & International Studies (incl Development Studies),General Engineering,Chemistry,Physics & Astronomy,Psychology,Business & Management,Biological Sciences,Veterinary Science,Geography,Accounting & Finance,Art, Performing Arts & Design,Languages, Literature & Linguistics,Computer Science,Sport Science,Agriculture & Forestry,Electrical & Electronic Engineering,Other Health,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering",2023
501–600,Gwangju Institute of Science and Technology (GIST),39.3–42.0,5280,44.5,167,40.8,223,31.4,1179,76.8,146,39.8,963,South Korea,"1,808",10.0,8%,"Electrical & Electronic Engineering,Physics & Astronomy,General Engineering,Chemistry,Chemical Engineering,Mechanical & Aerospace Engineering,Computer Science,Biological Sciences",2023
501–600,Harokopio University of Athens,39.3–42.0,5290,23.2,858,24.2,585,76.2,387,43.9,618,43.9,834,Greece,"3,125",46.6,3%,"Computer Science,Biological Sciences,Other Health,Agriculture & Forestry,Sport Science,Geography,Business & Management,Mathematics & Statistics,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences",2023
501–600,Heriot-Watt University,39.3–42.0,5300,31.2,478,31.1,405,48.3,884,43.0,675,94.0,62,United Kingdom,"9,735",17.9,37%,"Architecture,Electrical & Electronic Engineering,Civil Engineering,Chemical Engineering,Chemistry,Accounting & Finance,Mechanical & Aerospace Engineering,Computer Science,Mathematics & Statistics,Sport Science,Psychology,Business & Management,General Engineering,Languages, Literature & Linguistics,Biological Sciences,Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Physics & Astronomy",2023
501–600,Hokkaido University,39.3–42.0,5310,43.1,186,40.8,225,32.2,1166,65.4,226,44.0,831,Japan,"18,263",8.4,11%,"Accounting & Finance,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Education,Veterinary Science,Art, Performing Arts & Design,Chemical Engineering,Sociology,Computer Science,Agriculture & Forestry,Physics & Astronomy,Economics & Econometrics,Biological Sciences,Mathematics & Statistics,History, Philosophy & Theology,Civil Engineering,Politics & International Studies (incl Development Studies),Archaeology,Business & Management,Sport Science,Psychology,Architecture,Medicine & Dentistry,Law,Communication & Media Studies,Other Health,Mechanical & Aerospace Engineering,Geography,Languages, Literature & Linguistics,General Engineering,Chemistry",2023
501–600,Hong Kong Baptist University,39.3–42.0,5320,26.5,673,28.2,469,57.4,711,40.1,947,98.0,13,Hong Kong,"8,358",12.4,62%,"Geography,Economics & Econometrics,Art, Performing Arts & Design,Languages, Literature & Linguistics,Agriculture & Forestry,Business & Management,Biological Sciences,Chemistry,History, Philosophy & Theology,Mathematics & Statistics,Education,Sport Science,Computer Science,Accounting & Finance,Sociology,Communication & Media Studies,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Physics & Astronomy",2023
501–600,University of Hull,39.3–42.0,5330,25.3,720,24.6,572,62.1,620,38.2,1243,77.6,242,United Kingdom,"12,565",17.2,19%,"Medicine & Dentistry,Chemistry,Politics & International Studies (incl Development Studies),Education,Languages, Literature & Linguistics,Geography,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Mathematics & Statistics,General Engineering,Business & Management,Law,Computer Science,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Electrical & Electronic Engineering,Psychology,Economics & Econometrics,Biological Sciences,Communication & Media Studies,Physics & Astronomy,Chemical Engineering,Other Health,Sport Science,Sociology",2023
